"_","Id","IsDeleted","MasterRecordId","AccountId","IsPersonAccount","LastName","FirstName","Salutation","Name","RecordTypeId","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","OtherLatitude","OtherLongitude","OtherGeocodeAccuracy","OtherAddress","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","MailingLatitude","MailingLongitude","MailingGeocodeAccuracy","MailingAddress","MailingAddress.city","MailingAddress.country","MailingAddress.geocodeAccuracy","MailingAddress.latitude","MailingAddress.longitude","MailingAddress.postalCode","MailingAddress.state","MailingAddress.street","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","CurrencyIsoCode","OwnerId","HasOptedOutOfEmail","HasOptedOutOfFax","DoNotCall","CanAllowPortalSelfReg","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","MayEdit","IsLocked","LastViewedDate","LastReferencedDate","EmailBouncedReason","EmailBouncedDate","IsEmailBounced","PhotoUrl","Jigsaw","JigsawContactId","IndividualId","MaritalStatus","Gender","DeceasedDate","SequenceInMultipleBirth","Pronouns","GenderIdentity","HasPrivacyHold","IsPriorityRecord","ContactSource","TitleType","DepartmentGroup","BuyerAttributes","EDY_ORGCUSTOM__DB__c","EDY_ORGCUSTOM__Old_Title__c","External_ID__c","SDO_PA_Inclusive_Preferred_Name__c","SDO_PA_Inclusive_Pronouns__c","SDO_PA_Inclusive_TDD_TTY__c","SDO_PA_Preferred_Contact_Channel__c","SDO_Cust360_CSAT__c","SDO_Cust360_ChurnRisk__c","SDO_Cust360_Contact_Picture_URL__c","SDO_Cust360_Id__c","SDO_Cust360_Metric1__c","SDO_Cust360_Metric2__c","SDO_PA_Year_of_Birth__c","SDO_Service_Month_of_Birth__c","SDO_Service_Primary_Messaging_User__c","SDO_Service_SMS_Message__c","Notes__c","SDO_SFS_Rider_BotContext__c","SDO_SFS_Rider_Enabled__c","SDO_SFS_Rider_ServiceTerritory__c","et4ae5__HasOptedOutOfMobile__c","et4ae5__Mobile_Country_Code__c","SDO_Certification_Level_c__c","pi__Needs_Score_Synced__c","pi__Pardot_Last_Scored_At__c","pi__campaign__c","pi__comments__c","pi__conversion_date__c","pi__conversion_object_name__c","pi__conversion_object_type__c","pi__created_date__c","pi__first_activity__c","pi__first_search_term__c","pi__first_search_type__c","pi__first_touch_url__c","pi__grade__c","pi__last_activity__c","pi__notes__c","pi__pardot_hard_bounced__c","pi__score__c","pi__url__c","pi__utm_campaign__c","pi__utm_content__c","pi__utm_medium__c","pi__utm_source__c","pi__utm_term__c","Ptnr_Onbd_Fmwk__Onboarding_Plan__c","Ptnr_Onbd_Fmwk__Onboarding_Start_Date__c","Ptnr_Onbd_Fmwk__Onboarding_Status__c","Ptnr_Onbd_Fmwk__Role_Function__c","SDO_MAPS_Dataset_Split__c","SDO_MAPS_Days_Since_Last_Visit__c","SDO_MAPS_Tag_Contact__c","SDO_MAPS_Value_Tier__c","SDO_SFS_Tracker_BotContext__c","SDO_SCOM_OOA_Access__c","SDO_SCOM_OOA_Approver__c","SDO_SCOM_OOA_Budget_Limit__c","Password__c","Username__c","OtherAddress.city","OtherAddress.country","OtherAddress.geocodeAccuracy","OtherAddress.latitude","OtherAddress.longitude","OtherAddress.postalCode","OtherAddress.state","OtherAddress.street"
"[Contact]","003Ka000043Gpb9IAC","false","","","false","Fontana","Robert","Mr","Robert Fontana","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(226) 555-5980","","","","","","","rfontana@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043Gpb9IAC","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbAIAS","false","","","false","Foss","Peter","Mr","Peter Foss","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(453) 555-8461","","","","","","","pfoss@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbAIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043Gpb7IAC","false","","","false","Hennessy","Ed","Mr.","Ed Hennessy","012Ka000001VufqIAC","","","","","","","","","","2056 Laurel Ave","Jefferson","TX","77701","USA","30.083095","-94.116203","Block","[object Object]","Jefferson","USA","Block","30.083095","-94.116203","77701","TX","2056 Laurel Ave","(699) 555-3781","","","","","","","ehennessy@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043Gpb7IAC","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbBIAS","false","","","false","Woodson","Martin","Mr.","Martin Woodson","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(750) 555-8377","","","","","","","wmartin@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbBIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043Gpb8IAC","false","","","false","Green","Jamie","Mr.","Jamie Green","012Ka000001VufqIAC","","","","","","","","","","223 Polk Street","San Francisco","CA","94133","USA","37.778195","-122.418359","Block","[object Object]","San Francisco","USA","Block","37.778195","-122.418359","94133","CA","223 Polk Street","(537) 555-7796","","","","","","","jgreen@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043Gpb8IAC","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbCIAS","false","","","false","O'Brien Jr","Richard","Mr.","Richard O'Brien Jr","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(726) 555-5626","","","","","","","robrien@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbCIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbDIAS","false","","","false","Gillespie","Joseph","Mr.","Joseph Gillespie","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(323) 555-2642","","","","","","","jgillespie@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbDIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbFIAS","false","","","false","Lundgren","Bjorn","Mr.","Bjorn Lundgren","012Ka000001VufqIAC","","","","","","","","","","6039 E Northwest Hwy","Dallas","TX","75225","USA","32.86436","-96.759749","Block","[object Object]","Dallas","USA","Block","32.86436","-96.759749","75225","TX","6039 E Northwest Hwy","(373) 555-9342","","","","","","","bolson@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbFIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbGIAS","false","","","false","Odom","Judy","Ms.","Judy Odom","012Ka000001VufqIAC","","","","","","","","","","1984 Gufford Dr","New Hanover","NC","28403","USA","34.228938","-77.922892","Block","[object Object]","New Hanover","USA","Block","34.228938","-77.922892","28403","NC","1984 Gufford Dr","(689) 555-3077","","","","","","","jodom@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbGIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
"[Contact]","003Ka000043GpbEIAS","false","","","false","Green","Michelle","Mr.","Michelle Green","012Ka000001VufqIAC","","","","","","","","","","16909 SE Alder St","Multnomah","OR","97233","USA","45.517823","-122.489146","Block","[object Object]","Multnomah","USA","Block","45.517823","-122.489146","97233","OR","16909 SE Alder St","(280) 555-9701","","","","","","","mgreen@example.com","","","","","","","USD","005Ka000005rLzpIAE","false","false","false","false","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","005Ka000005rLzpIAE","2026-04-02T10:31:10.000+0000","","","","true","false","","","","","false","/services/images/photo/003Ka000043GpbEIAS","","","","","","","","","","false","false","","","","","false","","","","","false","","","","","","","","","","","","","","false","","false","US","","false","","","","","","","","","","","","","","","false","","","","","","","","","","Not Started","All","","","","","","","","","","","","","","","","","",""
